task_n,n,a1,pa1,a2,sa,b1,pb1,b2,sb,c1,pc1,c2,sc,rab,rbc,ADD,block_3_A
1,2,1,0.9,-10,0,0,1,0,0,0,1,0,0,0,0,0,0.56
2,2,10,0.1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0.3
3,2,12,1,12,0,11,1,11,0,0,1,0,0,0,0,0,0.97
4,2,12,1,12,0,20,0.1,10,0,0,1,0,0,0,0,0,0.84
5,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0.97
6,2,11,0.5,-9,0,0,1,0,0,0,1,0,0,0,0,0,0.55
7,2,-20,0.06,1.5,0,1.35,1,1.35,0,0,1,0,0,0,0,0,0.46
8,2,-20,0.06,1.5,0,3,0.45,0,0,0,1,0,0,0,0,0,0.29
9,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,-1,0,0,0.52
10,3,8,0.51,-8,0,4,0.51,-4,0,0,1,0,0,1,0,0,0.52
11,3,1.35,1,1.35,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.4
12,3,1.35,1,1.35,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.54
13,2,1.35,1,1.35,0,1.6,0.97,-20,0,0,1,0,0,1,0,0,0.45
14,2,1.35,1,1.35,0,1.2,0.97,-20,0,0,1,0,0,1,0,0,0.96
15,3,5,0.5,3,0,8,0.5,0,0,5,0.4,3,0,0,0,0,0.3
16,3,5,0.5,3,0,8,0.5,0,0,8,0.4,0,0,0,0,0,0.43
17,3,40,0.1,1.5,0,10,0.1,3,0,30,0.1,1.4,0,1,1,0,0.42
18,3,40,0.1,1.5,0,10,0.1,3,0,2.1,1,2.1,0,1,1,0,0.41
19,3,6,0.4,0,0,5,0.5,0,0,4,0.6,0,0,1,1,0,0.4
20,3,6,0.4,0,0,5,0.5,0,0,7,0.3,0,0,1,1,0,0.24
21,3,100,0.01,0,0,2,0.5,0,0,1,1,1,0,1,1,0,0.07
22,3,100,0.01,0,0,2,0.5,0,0,2.04,0.49,0,0,1,1,0,0.15
23,2,8,0.5,-6,0,7,0.5,-7,0,0,1,0,0,1,0,0,0.91
24,2,8,0.5,-6,0,7,0.5,-7,0,0,1,0,0,-1,0,0,0.55
25,2,9,0.9,0,0,9.1,0.87,0.1,0,0,1,0,0,1,0,0,0.19
26,2,9,0.9,0,0,9.1,0.87,0.1,0,0,1,0,0,-1,0,0,0.29
27,2,10,0.5,-10,0,11,0.5,-9,0,0,1,0,0,1,0,0,0.21
28,3,10,0.5,-10,0,11,0.5,-9,0,10,0.49,-10,0,1,0,0,0.1
29,3,5,0.5,3,0,8,0.5,0,0,5,0.4,4,0,0,0,0,0.22
30,3,5,0.5,3,0,8,0.5,0,0,8,0.4,1,0,0,0,0,0.3
31,2,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,-1,0,0,0.57
32,2,17,0.5,1,0,13,0.5,5,0,0,1,0,0,-1,0,0,0.51
33,3,0,1,0,10,0,1,0,5,0,1,0,0,0,0,1,0.55
34,3,0,1,0,10,0,1,0,5,0.5,1,0,0,0,0,1,0.45
35,3,8,0.5,-8,0,4,0.5,-4,0,0,1,0,0,0,0,1,0.48
36,3,17,0.5,1,0,13,0.5,5,0,9,1,9,0,-1,0,0,0.32
37,3,18,0.5,2,0,14,0.5,6,0,10,1,10,0,-1,0,0,0.32
38,3,0.6,1,0.6,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.27
39,3,3,0.45,0,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.64
40,3,0.6,1,0.6,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.23
41,3,3,0.45,0,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.6
42,3,3,0.45,0,0,2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.42
43,3,3,0.98,-148,0,2,0.8,-13,0,0,1,0,0,0,1,0,0.68
44,3,2,0.98,-148,0,3,0.8,-10,0,0,1,0,0,0,1,0,0.44
